Area_sqft,Price
500,6000000
550,4200000
600,6100000
650,4300000
700,5900000
750,4100000
800,6200000
850,4400000
900,5800000
950,4000000
1000,6300000
1050,4500000
1100,5700000
1150,4200000
1200,6400000
1250,4600000
1300,5600000
1350,4300000
1400,6500000
1450,4700000
1500,5500000
1550,4400000
1600,6600000
1650,4800000
1700,5400000
1750,4500000
1800,6700000
1850,4900000
1900,5300000
1950,4600000
2000,6800000
2050,5000000
2100,5200000
2150,4700000
2200,6900000
2250,5100000
2300,5100000
2350,4800000
2400,7000000
2450,5200000
2500,5000000
2550,4900000
2600,7100000
2650,5300000
2700,4900000
2750,5000000
2800,7200000
2850,5400000
2900,4800000
2950,5100000
3000,7300000
